Time (seconds),Recompile Time
2,0.2589328289
2.258932829,0.2740199393
2.532952768,0.3278703559
2.860823124,0.3936076386
3.254430763,0.3016170922
3.556047855,0.2418477934
3.797895648,0.3257598891
4.123655538,0.2291207495
4.352776287,0.3203722529
4.67314854,0.1018629041
4.775011444,0.1017420455
4.876753489,0.2168186832
5.093572173,0.265928852
5.359501025,0.2368436961
5.596344721,0.1141375066
5.710482227,0.2369341924
5.94741642,0.2138098737
6.161226294,0.244831061
8,0.05876749495
8.058767495,0.1724328064
8.231200301,0.2181961996
8.449396501,0.1562864902
8.605682991,0.08598282939
9.5,0.2570123619
9.757012362,0.1213455096
9.878357871,0.1010308348
9.979388706,0.3330111764
10.31239988,0.1462405828
10.45864047,0.2757773802
13,0.3471544718
13.34715447,0.2102563361
13.55741081,0.2707158022
13.82812661,0.1582635967
13.98639021,0.1508378718
14.13722808,0.1137281407
14.25095622,0.1273528848
14.3783091,0.1374263406
14.51573544,0.2712070003
14.78694244,0.2052640284
14.99220647,0.1855506105
15.17775708,0.3504481809
15.52820526,0.2179709973
15.74617626,0.2076233351
15.9537996,0.1290885969
16.08288819,0.3490362519
17.5,0.1616502482
17.66165025,0.3528927043
18.01454295,0.1221311992
18.13667415,0.2903593984
18.42703355,0.3467009005
21,0.3499358949
21.34993589,0.1286824741
21.47861837,0.1751906564
21.65380903,0.1067774557
21.76058648,0.2998538699
22.06044035,0.1792407408
22.23968109,0.2229384931
22.46261958,0.2387481464
22.70136773,0.3875906967
24,0.3662429815
25.5,0.1716392024
25.6716392,0.2478883369
25.91952754,0.1129285121
26.03245605,0.06116871566
26.09362477,0.1503086054
27.5,0.2809251587
27.78092516,0.1951594265
27.97608459,0.330889587
28.30697417,0.1413152968
28.44828947,0.2662923398
28.71458181,0.242704952
28.95728676,0.0890054581
29.04629222,0.2816385487
29,0.2820769467
29.28207695,0.2718732228
29.55395017,0.09949938272
29.65344955,0.3940127829
31,0.271700533
32.5,0.287801854
37,0.3050732434
37.30507324,0.2920367273
37.59710997,0.175375224
38.5,0.1554291512
38.65542915,0.08099261389
38.73642177,0.3173389017
39.05376067,0.3918106066
40.5,0.3890687368
40.88906874,0.06717366734
40.9562424,0.1918424154
41.14808482,0.379520594
41.52760541,0.2758327342
41.80343815,0.2065868332
42.01002498,0.2540606373
42.26408562,0.3003898825
42.5644755,0.07075598684
43,0.2668310349
43.26683103,0.09518149035
44,0.2999075168
45,0.3600186071
45.36001861,0.3939493958
48,0